id1,left_preview,id2,right_preview,matchness,score,embedding_similarity,key_overlap_score,rarity_score,bin,bin_reason,source_blockers_display,corner,label,
FBRef_001954,"player_name: Emmanuel Agbadou | positions_position: DF | clubs_club: Reims, Wolves",TM_064517,player_name: emmanuel nidoy | positions_position: DC | clubs_club: FC Villefranche-Beaujolais B,0.818814646,0.592332954,,1,0.008547009,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_002203,player_name: Filip Stankovic | positions_position: GK | clubs_club: Volendam,TM_038003,player_name: filip stuparevic | positions_position: ST | clubs_club: Motherwell FC,0.761098558,0.462471756,,1,0.007692308,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_004490,player_name: Mamadou Sakho | positions_position: DF | clubs_club: Montpellier,TM_055623,player_name: mohamed sakho | positions_position: DM | clubs_club: Unknown,0.811274672,0.575368012,,1,0.00952381,EASY_POS,EASY_POS,TokenBlocker,TRUE,0,1
FBRef_004835,"player_name: Matteo Cancellieri | positions_position: FW,MF, FW | clubs_club: Lazio, Empoli",TM_012565,player_name: matteo ricci | positions_position: DM | clubs_club: UC Sampdoria,0.829154432,0.615597472,,1,0.002857143,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_006954,player_name: Tom Boere | positions_position: FW | clubs_club: Cambuur,TM_006940,player_name: tom boere | positions_position: ST | clubs_club: KSC Lokeren,0.778867554,0.502451997,,1,0.00591716,EASY_POS,EASY_POS,TokenBlocker,TRUE,1,1
FBRef_001550,"player_name: David Neres | positions_position: FW,MF, MF, FW | clubs_club: Benfica, Napoli",TM_008968,player_name: david stipek | positions_position: MR | clubs_club: DJK Ast,0.794576078,0.537796176,,1,0.001515152,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_001024,"player_name: Bruno Méndez | positions_position: DF | clubs_club: Toluca, Granada",TM_009052,player_name: bruno uvini | positions_position: DC | clubs_club: Without Club,0.811525214,0.575931731,,1,0.003937008,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_001261,"player_name: Christopher Mamengi | positions_position: DF, DF,FW | clubs_club: Almere City",TM_034629,player_name: lars christopher vilsvik | positions_position: DR | clubs_club: Strømsgodset IF,0.793912778,0.536303751,,1,0.011904762,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_001322,player_name: Cristian | positions_position: GK | clubs_club: Valencia,TM_026394,player_name: cristian perez | positions_position: DC | clubs_club: Retired,0.769587869,0.481572706,,1,0.004975124,EASY_POS,EASY_POS,TokenBlocker,TRUE,0,1
FBRef_003438,"player_name: Jordan Silva | positions_position: DF,MF, DF | clubs_club: Cruz Azul, Querétaro, Atlético",TM_012028,player_name: luis silva | positions_position: MC | clubs_club: Académico Viseu FC,0.755694757,0.450313203,,1,0.002364066,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_001279,player_name: Claudemir de Souza | positions_position: MF | clubs_club: Vizela,TM_002546,player_name: de pievre ilunga | positions_position: MC | clubs_club: Örebro Syrianska IF,0.7973556,0.5440501,,1,0.001680672,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_005739,"player_name: Paulo Victor | positions_position: FW,MF, DF,MF | clubs_club: Farense, Chaves",TM_028754,player_name: paulo moreira | positions_position: MC | clubs_club: CF Estrela Amadora,0.802010156,0.55452285,,1,0.00330033,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_001524,player_name: Dave Van Den Berg | positions_position: MF | clubs_club: Zwolle,TM_060852,player_name: tim van den heuvel | positions_position: MC | clubs_club: Hannover 96 II,0.815676395,0.585271889,,1,0.002247191,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_004571,"player_name: Marco D'Alessandro | positions_position: DF,FW | clubs_club: Monza",TM_032508,player_name: marco libertino | positions_position: DL | clubs_club: Without Club,0.826233385,0.609025117,,1,0.001176471,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_006928,player_name: Timon Wellenreuther | positions_position: GK | clubs_club: Feyenoord,TM_055511,player_name: timon vanhoutte | positions_position: GK | clubs_club: RSCA Futures,0.859698914,0.684322556,,1,0.166666667,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_000272,"player_name: Alessandro Di Pardo | positions_position: DF,MF, DF | clubs_club: Cagliari",TM_035336,player_name: alessandro del piero | positions_position: ST | clubs_club: Retired,0.767168026,0.47612806,,1,0.001683502,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_006843,"player_name: Thom van Bergen | positions_position: FW,DF, FW | clubs_club: Groningen",TM_051621,player_name: thom van bergen | positions_position: ST | clubs_club: FC Groningen,0.812815253,0.57883432,,1,0.002439024,EASY_POS,EASY_POS,TokenBlocker,TRUE,1,1
FBRef_001104,"player_name: Carlos Clerc | positions_position: DF,MF | clubs_club: Elche",TM_011574,player_name: carlos ascues | positions_position: DC | clubs_club: Alianza Universidad,0.830114402,0.617757406,,1,0.002777778,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_000914,"player_name: Bill Antonio | positions_position: MF,FW, DF,FW | clubs_club: Mechelen",TM_036166,player_name: antonio tedesco | positions_position: AML | clubs_club: Without Club,0.781365931,0.508073344,,1,0.002680965,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_004844,"player_name: Matteo Politano | positions_position: MF, FW | clubs_club: Napoli",TM_036035,player_name: matteo lovato | positions_position: DC | clubs_club: FC Empoli,0.780930105,0.507092737,,1,0.00286533,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_001513,"player_name: Darko Lazović | positions_position: FW,MF, MF,DF | clubs_club: Hellas Verona",TM_063582,player_name: darko brasanac | positions_position: MC | clubs_club: Málaga CF,0.809272748,0.570863683,,1,0.05,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_004245,"player_name: Luca Everink | positions_position: DF, DF,FW | clubs_club: Go Ahead Eag, Twente",TM_002631,player_name: luca frenguelli | positions_position: DL | clubs_club: CA Racing (Córdoba),0.786848987,0.520410221,,1,0.002590674,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_001617,"player_name: Denis Odoi | positions_position: MF,DF, DF,MF | clubs_club: Club Brugge, Antwerp",TM_050317,player_name: denis arnaud | positions_position: DL | clubs_club: Retired,0.786474488,0.519567597,,1,0.008474576,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_005355,player_name: Nicolas Madsen | positions_position: MF | clubs_club: Westerlo,TM_058657,player_name: nicolas chietino | positions_position: MC | clubs_club: Retired,0.828741714,0.614668856,,1,0.003436426,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_001530,player_name: David Ayala | positions_position: MF | clubs_club: UANL,TM_030461,player_name: david bras | positions_position: MC | clubs_club: FC Pampilhosa,0.770940568,0.484616278,,1,0.001497006,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_003115,player_name: Javi Montero | positions_position: DF | clubs_club: Arouca,TM_050946,player_name: javi vertiz | positions_position: DR | clubs_club: UD Melilla B,0.836367691,0.631827304,,1,0.006578947,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_004741,player_name: Matej Maglica | positions_position: DF | clubs_club: Darmstadt 98,TM_039941,player_name: matej jelic | positions_position: ST | clubs_club: NK Valpovka Valpovo,0.758559068,0.456757902,,1,0.026315789,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_006110,player_name: Robert Gumny | positions_position: DF | clubs_club: Augsburg,TM_035573,player_name: robert middleby | positions_position: DR | clubs_club: Retired,0.80192179,0.554324028,,1,0.007518797,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_003430,"player_name: Jordan Larsson | positions_position: FW,MF | clubs_club: Schalke 04",TM_005686,player_name: jordan cousins | positions_position: MC | clubs_club: Eastleigh FC,0.767449168,0.476760628,,1,0.005405405,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_000293,"player_name: Alex Král | positions_position: MF | clubs_club: Union Berlin, Schalke 04",TM_033068,player_name: alex pattison | positions_position: MC | clubs_club: Bradford City,0.812306278,0.577689127,,1,0.002808989,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_004834,player_name: Matteo Bianchetti | positions_position: DF | clubs_club: Cremonese,TM_024230,player_name: matteo remorini | positions_position: AMC | clubs_club: GS Fratres Perignano 2019,0.754933959,0.448601407,,1,0.00286533,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_004307,"player_name: Lucas Piazon | positions_position: MF,FW | clubs_club: AVS Futebol",TM_064341,player_name: lucas andre | positions_position: MC | clubs_club: Barra FC,0.834833649,0.628375711,,1,0.002427184,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_004243,player_name: Luca Caldirola | positions_position: DF | clubs_club: Monza,TM_039763,player_name: luca denicola | positions_position: DC | clubs_club: Retired,0.791430744,0.530719174,,1,0.002590674,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_004571,"player_name: Marco D'Alessandro | positions_position: DF,FW | clubs_club: Monza",TM_030186,player_name: alessandro sangiorgi | positions_position: DM | clubs_club: Rovato Vertovese,0.815939862,0.585864689,,1,0.001199041,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_000828,player_name: Bas van den Eynden | positions_position: DF | clubs_club: Mechelen,TM_027886,player_name: daan van gijseghem | positions_position: DC | clubs_club: Retired,0.815348645,0.584534452,,1,0.002352941,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_001558,"player_name: David Sambissa | positions_position: FW,MF | clubs_club: Cambuur",TM_058610,player_name: david fisher | positions_position: ST | clubs_club: Glentoran FC,0.698878956,0.32247765,,1,0.001515152,CORNER,disagreement,TokenBlocker,FALSE,0,0
FBRef_007370,"player_name: Younes Taha El Idrissi | positions_position: FW,MF | clubs_club: Twente",TM_063813,player_name: ismael el omari | positions_position: ST | clubs_club: Royal Union Tubize-Braine,0.693342106,0.310019738,,1,0.004524887,CORNER,disagreement,TokenBlocker,FALSE,0,0
FBRef_001533,"player_name: David Brooks | positions_position: FW,MF | clubs_club: Bournemouth",TM_036828,player_name: david zec | positions_position: DC | clubs_club: Holstein Kiel,0.686849171,0.295410634,,1,0.001497006,CORNER,disagreement,TokenBlocker,FALSE,0,0
FBRef_006857,player_name: Thomas Kristensen | positions_position: DF | clubs_club: Udinese,TM_030636,player_name: thomas fink | positions_position: AMC | clubs_club: SC Weiz,0.727154672,0.386098013,,1,0.003021148,CORNER,disagreement,TokenBlocker,FALSE,0,0
FBRef_001455,"player_name: Daniel López | positions_position: FW,MF | clubs_club: Querétaro",TM_048738,player_name: daniel sannipoli | positions_position: MC | clubs_club: Guidonia Montecelio 1937 FC,0.716033616,0.361075635,,1,0.001901141,CORNER,disagreement,TokenBlocker,FALSE,0,0
FBRef_000076,"player_name: Adam Daghim | positions_position: FW,MF | clubs_club: Wolfsburg",TM_045081,player_name: adam wastlund | positions_position: DM | clubs_club: Lindome GIF,0.674051316,0.266615462,,1,0.004065041,CORNER,disagreement,TokenBlocker,FALSE,0,0
FBRef_003079,"player_name: Jannes Horn | positions_position: DF,FW | clubs_club: Bochum",TM_026067,player_name: luca horn | positions_position: ML | clubs_club: Sportfreunde Lotte,0.742205857,0.419963179,,1,0.027777778,CORNER,disagreement,TokenBlocker,FALSE,0,0
FBRef_001921,player_name: Emanuel Poku | positions_position: FW | clubs_club: Almere City,TM_051468,player_name: emanuel centurion | positions_position: ML | clubs_club: Retired,0.717081523,0.363433426,,1,0.019230769,CORNER,disagreement,TokenBlocker,FALSE,0,0
FBRef_002146,player_name: Federico Redondo | positions_position: MF | clubs_club: Elche,TM_019827,player_name: federico celli | positions_position: DC | clubs_club: Città di Formia,0.705771453,0.337985769,,1,0.003891051,CORNER,disagreement,TokenBlocker,FALSE,0,0
FBRef_005045,"player_name: Miguel Tapias | positions_position: DF | clubs_club: Guadalajara, Pachuca",TM_041016,player_name: miguel zepeda | positions_position: MR | clubs_club: Retired,0.739613303,0.414129931,,1,0.004366812,CORNER,disagreement,TokenBlocker,FALSE,0,0
FBRef_003227,player_name: Jesse van de Haar | positions_position: FW | clubs_club: Utrecht,TM_060044,player_name: daniele de paola | positions_position: DR | clubs_club: Without Club,0.707646021,0.342203548,,1,0.001121076,CORNER,disagreement,TokenBlocker,FALSE,0,0
FBRef_006606,"player_name: Silvester van der Water | positions_position: FW,MF | clubs_club: RKC Waalwijk, Zwolle, Cambuur",TM_010369,player_name: kevin van veen | positions_position: ST | clubs_club: FC Eindhoven,0.73962701,0.414160773,,1,0.002197802,CORNER,disagreement,TokenBlocker,FALSE,0,0
FBRef_000954,"player_name: Boyd Lucassen | positions_position: DF,FW | clubs_club: NAC Breda",TM_000942,player_name: terrence boyd | positions_position: ST | clubs_club: SV Waldhof Mannheim,0.652119459,0.217268784,,1,0.083333333,CORNER,uncertainty,TokenBlocker,FALSE,0,0
FBRef_001003,"player_name: Brice Samba | positions_position: GK | clubs_club: Rennes, Lens",TM_063989,player_name: samba kone | positions_position: MC | clubs_club: Académico Viseu FC,0.634067366,0.176651573,,1,0.043478261,CORNER,uncertainty,TokenBlocker,FALSE,0,0
FBRef_004937,"player_name: Maximiliano Meza | positions_position: MF,FW | clubs_club: Monterrey",TM_068621,player_name: noe meza | positions_position: ST | clubs_club: Without Club,0.63029185,0.168156662,,1,0.01754386,CORNER,uncertainty,TokenBlocker,FALSE,0,0
FBRef_007402,"player_name: Yusuf Barasi | positions_position: FW,MF | clubs_club: AZ Alkmaar",TM_059693,player_name: bamidele yusuf | positions_position: AMR | clubs_club: Ferencvárosi TC,0.652455959,0.218025908,,1,0.016129032,CORNER,uncertainty,TokenBlocker,FALSE,0,0
FBRef_003279,"player_name: Jo | positions_position: FW,MF | clubs_club: Chaves",TM_066368,player_name: min ho jo | positions_position: AMC | clubs_club: Busan IPark,0.572842086,0.038894694,,1,0.043478261,CORNER,uncertainty,TokenBlocker,TRUE,0,1
FBRef_004040,"player_name: Kyliane Dong | positions_position: MF,FW | clubs_club: Troyes",TM_025343,player_name: dong gyu baek | positions_position: DC | clubs_club: Bucheon FC 1995,0.649736385,0.211906867,,1,25,CORNER,uncertainty,TokenBlocker,FALSE,0,0
FBRef_001278,"player_name: Cisse Sandra | positions_position: MF,FW, FW,MF, MF | clubs_club: Excelsior, Club Brugge, Willem II",TM_027939,player_name: yacouba cisse | positions_position: ST | clubs_club: US Ariano,0.629590598,0.166578845,,1,0.026315789,CORNER,uncertainty,TokenBlocker,FALSE,0,0
FBRef_006529,"player_name: Sergi Darder | positions_position: MF,FW, MF | clubs_club: Espanyol, Mallorca",TM_059198,player_name: sammy sergi | positions_position: ST | clubs_club: Without Club,0.655017609,0.22378962,,1,0.032258065,CORNER,uncertainty,TokenBlocker,FALSE,0,0
FBRef_001741,"player_name: Dion Lopy | positions_position: MF | clubs_club: Almería, Reims",TM_065524,player_name: moise sahi dion | positions_position: ST | clubs_club: FCV Dender EH,0.655911564,0.225801019,,1,0.033333333,CORNER,uncertainty,TokenBlocker,FALSE,0,0
FBRef_000715,player_name: Arthur Alexis | positions_position: MF | clubs_club: Sint-Truiden,TM_063837,player_name: alexis manyoma | positions_position: AML | clubs_club: Colorado Rapids,0.652789668,0.218776753,,1,0.006896552,CORNER,uncertainty,TokenBlocker,FALSE,0,0
FBRef_005174,player_name: Moritz Nicolas | positions_position: GK | clubs_club: Gladbach,TM_037996,player_name: nicolas | positions_position: DL | clubs_club: Ceará Sporting Club,0.638857681,0.187429781,,1,0.003205128,CORNER,uncertainty,TokenBlocker,FALSE,0,0
FBRef_000877,"player_name: Benji Michel | positions_position: FW,MF, FW | clubs_club: Arouca",TM_037477,player_name: michel araujo | positions_position: AML | clubs_club: Esporte Clube Bahia,0.747816015,0.432586033,,1,0.011111111,CORNER,threshold,TokenBlocker,FALSE,0,0
FBRef_007146,player_name: Vincent Sasso | positions_position: DF | clubs_club: Boavista,TM_057234,player_name: james vincent | positions_position: MC | clubs_club: Stockport Town FC,0.64717697,0.206148183,,1,0.009615385,CORNER,uncertainty,TokenBlocker,FALSE,0,0
FBRef_007496,player_name: Ángel Rico | positions_position: MF | clubs_club: UNAM,TM_062262,player_name: rico schmider | positions_position: DM | clubs_club: Retired,0.637117813,0.18351508,,1,0.04,CORNER,uncertainty,TokenBlocker,FALSE,0,0
FBRef_006745,"player_name: Sylla Sow | positions_position: FW,MF, FW | clubs_club: NEC Nijmegen, Go Ahead Eag",TM_031539,player_name: alhassane sylla | positions_position: DR | clubs_club: Without Club,0.654102673,0.221731015,,1,0.016666667,CORNER,uncertainty,TokenBlocker,FALSE,0,0
FBRef_005564,player_name: Ortwin De Wolf | positions_position: GK | clubs_club: Mechelen,TM_004506,player_name: jacobo de oro | positions_position: AMR | clubs_club: UD San Sebastián de los Reyes,0.649531568,0.211446027,,1,0.001733102,CORNER,uncertainty,TokenBlocker,FALSE,0,0
FBRef_007493,player_name: Ángel Leyva | positions_position: DF | clubs_club: Mazatlán,TM_067887,player_name: martin martinez leyva | positions_position: ST | clubs_club: Tulsa SC,0.644383997,0.199863993,,1,0.037037037,CORNER,uncertainty,TokenBlocker,FALSE,0,0
FBRef_006110,player_name: Robert Gumny | positions_position: DF | clubs_club: Augsburg,TM_050384,player_name: thomas robert | positions_position: AMR | clubs_club: Unknown,0.63327548,0.17486983,,1,0.00617284,CORNER,uncertainty,TokenBlocker,FALSE,0,0
FBRef_002134,player_name: Federico Dimarco | positions_position: DF | clubs_club: Inter,TM_013121,player_name: federico serraiocco | positions_position: GK | clubs_club: Retired,0.770115435,0.482759729,,1,0.003937008,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_003661,"player_name: Juan Cruz | positions_position: FW,MF, FW | clubs_club: Hellas Verona, Betis",TM_039235,player_name: juan andrada | positions_position: DM | clubs_club: CA Sarmiento (Junin),0.790643773,0.528948489,,1,0.002645503,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_003705,player_name: Julian Araujo | positions_position: DF | clubs_club: Las Palmas,TM_007486,player_name: julian von haacke | positions_position: MC | clubs_club: TuS Dassendorf,0.713573532,0.355540448,,1,0.005524862,CORNER,disagreement,TokenBlocker,FALSE,0,0
FBRef_006437,"player_name: Santiago Bueno | positions_position: DF | clubs_club: Girona, Wolves",TM_048117,player_name: santiago sosa | positions_position: DC | clubs_club: Racing Club,0.83401188,0.62652673,,1,0.0078125,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_003118,player_name: Javi Sánchez | positions_position: DF | clubs_club: Valladolid,TM_041521,player_name: javi martinez | positions_position: GK | clubs_club: Retired,0.747354108,0.431546742,,1,0.006993007,CORNER,disagreement,TokenBlocker,FALSE,0,0
FBRef_000276,player_name: Alessandro Sorrentino | positions_position: GK | clubs_club: Monza,TM_053731,player_name: alessandro pietrelli | positions_position: AMR | clubs_club: Venezia FC,0.760627623,0.461412151,,1,0.0025,EASY_POS,EASY_POS,TokenBlocker,FALSE,0,0
FBRef_006866,"player_name: Thomas Robinet | positions_position: MF,FW, FW,MF | clubs_club: Almere City",TM_010987,player_name: kwame thomas | positions_position: ST | clubs_club: Aldershot Town,0.683638059,0.288185633,,1,0.003125,CORNER,disagreement,TokenBlocker,FALSE,0,0
FBRef_005772,player_name: Pedro Manuel da Silva Moreira | positions_position: MF | clubs_club: Arouca,TM_028192,player_name: manuel kober | positions_position: DC | clubs_club: FC 08 Homburg,0.686797638,0.295294685,,1,0.001414427,CORNER,disagreement,TokenBlocker,FALSE,0,0
